user_id,category,total_abandoned_sessions,last_activity_time,estimated_lost_revenue_usd
usr_2395,Electronics,1,2026-07-10 23:05:03.000000,561.3
usr_0486,Electronics,1,2026-07-10 22:59:17.000000,561.3
usr_0465,Electronics,1,2026-07-10 18:51:36.000000,561.3
usr_1532,Electronics,1,2026-07-10 15:59:08.000000,561.3
usr_0777,Electronics,1,2026-07-10 15:22:23.000000,561.3
usr_2739,Electronics,1,2026-07-10 14:01:04.000000,561.3
usr_0763,Electronics,1,2026-07-10 09:54:29.000000,561.3
usr_1106,Electronics,1,2026-07-10 07:15:38.000000,561.3
usr_0324,Electronics,1,2026-07-09 23:37:45.000000,561.3
usr_1995,Electronics,1,2026-07-09 22:38:45.000000,561.3
usr_0661,Electronics,1,2026-07-09 21:21:16.000000,561.3
usr_2288,Electronics,1,2026-07-09 21:07:36.000000,561.3
usr_2615,Electronics,1,2026-07-09 20:56:47.000000,561.3
usr_2517,Electronics,1,2026-07-09 19:00:54.000000,561.3
usr_0282,Electronics,1,2026-07-09 14:59:18.000000,561.3
usr_1244,Electronics,1,2026-07-09 14:58:01.000000,561.3
usr_0570,Electronics,1,2026-07-09 14:57:25.000000,561.3
usr_0725,Electronics,1,2026-07-09 12:42:56.000000,561.3
usr_0558,Electronics,1,2026-07-09 11:45:13.000000,561.3
usr_0036,Electronics,1,2026-07-09 10:17:37.000000,561.3
usr_0013,Electronics,1,2026-07-09 08:56:54.000000,561.3
usr_0168,Electronics,1,2026-07-09 06:34:38.000000,561.3
usr_2633,Electronics,1,2026-07-09 05:57:09.000000,561.3
usr_0018,Electronics,1,2026-07-09 04:28:19.000000,561.3
usr_1036,Electronics,1,2026-07-09 01:41:11.000000,561.3
usr_2471,Electronics,1,2026-07-08 19:59:03.000000,561.3
usr_1200,Electronics,1,2026-07-08 18:58:16.000000,561.3
usr_1663,Electronics,1,2026-07-08 17:37:56.000000,561.3
usr_0758,Electronics,1,2026-07-08 16:19:46.000000,561.3
usr_1338,Electronics,1,2026-07-08 15:41:46.000000,561.3
usr_0399,Electronics,1,2026-07-08 14:50:15.000000,561.3
usr_2486,Electronics,1,2026-07-08 13:19:50.000000,561.3
usr_1985,Electronics,1,2026-07-08 13:05:12.000000,561.3
usr_0811,Electronics,1,2026-07-08 11:20:51.000000,561.3
usr_1579,Electronics,1,2026-07-08 07:50:35.000000,561.3
usr_1900,Electronics,1,2026-07-08 05:45:52.000000,561.3
usr_1349,Electronics,1,2026-07-08 03:44:53.000000,561.3
usr_1180,Electronics,1,2026-07-08 02:18:53.000000,561.3
usr_1836,Electronics,1,2026-07-08 00:48:35.000000,561.3
usr_0866,Electronics,1,2026-07-07 22:39:55.000000,561.3
usr_1898,Electronics,1,2026-07-07 21:25:49.000000,561.3
usr_1791,Electronics,1,2026-07-07 21:05:51.000000,561.3
usr_1303,Electronics,1,2026-07-07 20:35:44.000000,561.3
usr_1168,Electronics,1,2026-07-07 20:33:55.000000,561.3
usr_1760,Electronics,1,2026-07-07 20:08:43.000000,561.3
usr_0219,Electronics,1,2026-07-07 20:03:36.000000,561.3
usr_0641,Electronics,1,2026-07-07 19:28:50.000000,561.3
usr_0704,Electronics,1,2026-07-07 19:07:42.000000,561.3
usr_0911,Electronics,1,2026-07-07 15:08:22.000000,561.3
usr_1111,Electronics,1,2026-07-07 11:21:44.000000,561.3
usr_2606,Electronics,1,2026-07-07 07:02:12.000000,561.3
usr_0177,Electronics,1,2026-07-07 03:30:19.000000,561.3
usr_1189,Electronics,1,2026-07-07 02:15:33.000000,561.3
usr_0247,Electronics,1,2026-07-07 01:55:21.000000,561.3
usr_2451,Electronics,1,2026-07-07 00:28:03.000000,561.3
usr_2616,Electronics,1,2026-07-06 23:54:16.000000,561.3
usr_1624,Electronics,1,2026-07-06 22:30:01.000000,561.3
usr_1460,Electronics,1,2026-07-06 19:16:43.000000,561.3
usr_1525,Electronics,1,2026-07-06 17:59:15.000000,561.3
usr_1794,Electronics,1,2026-07-06 15:07:31.000000,561.3
usr_1356,Electronics,1,2026-07-06 10:59:03.000000,561.3
usr_2325,Electronics,1,2026-07-06 10:15:23.000000,561.3
usr_2797,Electronics,1,2026-07-06 09:51:12.000000,561.3
usr_2135,Electronics,1,2026-07-06 08:57:42.000000,561.3
usr_0332,Electronics,1,2026-07-06 08:28:33.000000,561.3
usr_1555,Electronics,1,2026-07-06 02:56:27.000000,561.3
usr_0408,Electronics,1,2026-07-06 01:06:01.000000,561.3
usr_2285,Electronics,1,2026-07-06 00:41:07.000000,561.3
usr_1115,Electronics,1,2026-07-06 00:11:11.000000,561.3
usr_1227,Electronics,1,2026-07-05 22:48:04.000000,561.3
usr_2672,Electronics,1,2026-07-05 19:28:17.000000,561.3
usr_1567,Electronics,1,2026-07-05 16:07:30.000000,561.3
usr_1956,Electronics,1,2026-07-05 13:46:14.000000,561.3
usr_0301,Electronics,1,2026-07-05 13:08:28.000000,561.3
usr_2344,Electronics,1,2026-07-05 07:57:29.000000,561.3
usr_0387,Electronics,1,2026-07-05 06:47:53.000000,561.3
usr_2520,Electronics,1,2026-07-05 00:04:48.000000,561.3
usr_0400,Electronics,1,2026-07-04 23:54:23.000000,561.3
usr_2379,Electronics,1,2026-07-04 23:00:21.000000,561.3
usr_2223,Electronics,1,2026-07-04 22:42:44.000000,561.3
usr_2542,Electronics,1,2026-07-04 22:00:31.000000,561.3
usr_2314,Electronics,1,2026-07-04 13:34:17.000000,561.3
usr_1127,Electronics,1,2026-07-04 08:09:33.000000,561.3
usr_2687,Electronics,1,2026-07-04 06:26:56.000000,561.3
usr_0025,Electronics,1,2026-07-04 06:24:40.000000,561.3
usr_0470,Electronics,1,2026-07-04 04:41:45.000000,561.3
usr_2682,Electronics,1,2026-07-04 00:16:50.000000,561.3
usr_2003,Electronics,1,2026-07-03 21:32:46.000000,561.3
usr_0728,Electronics,1,2026-07-03 19:06:21.000000,561.3
usr_1736,Electronics,1,2026-07-03 17:33:15.000000,561.3
usr_1625,Electronics,1,2026-07-03 11:33:27.000000,561.3
usr_1910,Electronics,1,2026-07-03 10:35:27.000000,561.3
usr_0473,Electronics,1,2026-07-03 07:00:06.000000,561.3
usr_0708,Electronics,1,2026-07-03 06:53:49.000000,561.3
usr_2692,Electronics,1,2026-07-03 06:01:30.000000,561.3
usr_1354,Electronics,1,2026-07-03 03:34:13.000000,561.3
usr_1545,Electronics,1,2026-07-03 00:57:17.000000,561.3
usr_1346,Electronics,1,2026-07-02 22:30:09.000000,561.3
usr_2220,Electronics,1,2026-07-02 20:04:50.000000,561.3
usr_2783,Electronics,1,2026-07-02 16:44:41.000000,561.3
usr_2577,Electronics,1,2026-07-02 13:32:07.000000,561.3
usr_0563,Electronics,1,2026-07-02 12:15:33.000000,561.3
usr_1032,Electronics,1,2026-07-02 10:35:03.000000,561.3
usr_1435,Electronics,1,2026-07-02 10:09:50.000000,561.3
usr_1519,Electronics,1,2026-07-02 09:50:37.000000,561.3
usr_0342,Electronics,1,2026-07-02 08:02:09.000000,561.3
usr_1901,Electronics,1,2026-07-02 06:26:22.000000,561.3
usr_1371,Electronics,1,2026-07-02 03:32:06.000000,561.3
usr_1939,Electronics,1,2026-07-01 20:58:55.000000,561.3
usr_1316,Electronics,1,2026-07-01 19:22:58.000000,561.3
usr_0478,Electronics,1,2026-07-01 16:14:37.000000,561.3
usr_1447,Electronics,1,2026-07-01 15:36:01.000000,561.3
usr_2622,Electronics,1,2026-07-01 11:25:13.000000,561.3
usr_1490,Electronics,1,2026-07-01 10:46:39.000000,561.3
usr_0988,Electronics,1,2026-07-01 08:49:23.000000,561.3
usr_1558,Electronics,1,2026-07-01 07:21:29.000000,561.3
usr_0074,Electronics,1,2026-07-01 07:18:44.000000,561.3
usr_1942,Electronics,1,2026-07-01 06:50:10.000000,561.3
usr_0169,Electronics,1,2026-07-01 04:29:24.000000,561.3
usr_0674,Electronics,1,2026-07-01 04:16:02.000000,561.3
usr_2140,Home & Kitchen,1,2026-07-11 00:03:47.000000,162.53
usr_2722,Home & Kitchen,1,2026-07-10 23:19:40.000000,162.53
usr_1596,Home & Kitchen,1,2026-07-10 22:04:25.000000,162.53
usr_0248,Home & Kitchen,1,2026-07-10 21:48:07.000000,162.53
usr_2246,Home & Kitchen,1,2026-07-10 19:58:43.000000,162.53
usr_1257,Home & Kitchen,1,2026-07-10 09:57:31.000000,162.53
usr_2312,Home & Kitchen,1,2026-07-10 07:37:18.000000,162.53
usr_2072,Home & Kitchen,1,2026-07-10 07:32:28.000000,162.53
usr_1735,Home & Kitchen,1,2026-07-10 04:27:38.000000,162.53
usr_1443,Home & Kitchen,1,2026-07-10 03:43:40.000000,162.53
usr_0434,Home & Kitchen,1,2026-07-10 01:01:13.000000,162.53
usr_1448,Home & Kitchen,1,2026-07-09 21:56:47.000000,162.53
usr_1800,Home & Kitchen,1,2026-07-09 17:24:35.000000,162.53
usr_2429,Home & Kitchen,1,2026-07-09 16:24:32.000000,162.53
usr_0064,Home & Kitchen,1,2026-07-09 15:48:21.000000,162.53
usr_1729,Home & Kitchen,1,2026-07-09 15:23:58.000000,162.53
usr_2158,Home & Kitchen,1,2026-07-09 13:46:18.000000,162.53
usr_2207,Home & Kitchen,1,2026-07-09 13:28:14.000000,162.53
usr_2026,Home & Kitchen,1,2026-07-09 12:07:02.000000,162.53
usr_2374,Home & Kitchen,1,2026-07-09 10:49:38.000000,162.53
usr_2608,Home & Kitchen,1,2026-07-09 03:06:35.000000,162.53
usr_0620,Home & Kitchen,1,2026-07-08 21:33:51.000000,162.53
usr_2154,Home & Kitchen,1,2026-07-08 12:30:48.000000,162.53
usr_0643,Home & Kitchen,1,2026-07-08 11:57:11.000000,162.53
usr_1455,Home & Kitchen,1,2026-07-08 11:43:59.000000,162.53
usr_1907,Home & Kitchen,1,2026-07-08 10:03:45.000000,162.53
usr_1918,Home & Kitchen,1,2026-07-08 08:45:25.000000,162.53
usr_1210,Home & Kitchen,1,2026-07-08 07:57:20.000000,162.53
usr_0962,Home & Kitchen,1,2026-07-08 02:39:45.000000,162.53
usr_1173,Home & Kitchen,1,2026-07-08 02:36:01.000000,162.53
usr_2507,Home & Kitchen,1,2026-07-08 01:04:53.000000,162.53
usr_2789,Home & Kitchen,1,2026-07-08 00:37:38.000000,162.53
usr_0085,Home & Kitchen,1,2026-07-07 23:47:45.000000,162.53
usr_2076,Home & Kitchen,1,2026-07-07 23:41:01.000000,162.53
usr_0745,Home & Kitchen,1,2026-07-07 20:08:38.000000,162.53
usr_0050,Home & Kitchen,1,2026-07-07 19:49:19.000000,162.53
usr_0158,Home & Kitchen,1,2026-07-07 19:46:39.000000,162.53
usr_0945,Home & Kitchen,1,2026-07-07 18:42:12.000000,162.53
usr_0418,Home & Kitchen,1,2026-07-07 16:25:48.000000,162.53
usr_0114,Home & Kitchen,1,2026-07-07 15:44:11.000000,162.53
usr_1156,Home & Kitchen,1,2026-07-07 14:20:09.000000,162.53
usr_2444,Home & Kitchen,1,2026-07-07 11:50:35.000000,162.53
usr_0604,Home & Kitchen,1,2026-07-07 11:25:52.000000,162.53
usr_2508,Home & Kitchen,1,2026-07-07 08:25:48.000000,162.53
usr_1047,Home & Kitchen,1,2026-07-07 07:09:13.000000,162.53
usr_0895,Home & Kitchen,1,2026-07-07 04:59:39.000000,162.53
usr_0710,Home & Kitchen,1,2026-07-07 00:45:19.000000,162.53
usr_1965,Home & Kitchen,1,2026-07-06 23:51:51.000000,162.53
usr_0632,Home & Kitchen,1,2026-07-06 20:10:52.000000,162.53
usr_0743,Home & Kitchen,1,2026-07-06 16:41:58.000000,162.53
usr_2680,Home & Kitchen,1,2026-07-06 16:05:47.000000,162.53
usr_0160,Home & Kitchen,1,2026-07-06 04:53:58.000000,162.53
usr_0571,Home & Kitchen,1,2026-07-06 04:52:40.000000,162.53
usr_0639,Home & Kitchen,1,2026-07-06 00:48:26.000000,162.53
usr_0336,Home & Kitchen,1,2026-07-06 00:02:47.000000,162.53
usr_2090,Home & Kitchen,1,2026-07-05 21:05:33.000000,162.53
usr_1707,Home & Kitchen,1,2026-07-05 17:33:00.000000,162.53
usr_0426,Home & Kitchen,1,2026-07-05 15:12:19.000000,162.53
usr_1407,Home & Kitchen,1,2026-07-05 11:08:14.000000,162.53
usr_0033,Home & Kitchen,1,2026-07-05 06:53:39.000000,162.53
usr_0403,Home & Kitchen,1,2026-07-05 02:53:11.000000,162.53
usr_0688,Home & Kitchen,1,2026-07-05 02:48:01.000000,162.53
usr_1216,Home & Kitchen,1,2026-07-04 23:36:23.000000,162.53
usr_1082,Home & Kitchen,1,2026-07-04 21:34:23.000000,162.53
usr_1400,Home & Kitchen,1,2026-07-04 17:18:14.000000,162.53
usr_1506,Home & Kitchen,1,2026-07-04 17:13:46.000000,162.53
usr_2748,Home & Kitchen,1,2026-07-04 17:03:13.000000,162.53
usr_2094,Home & Kitchen,1,2026-07-04 15:49:16.000000,162.53
usr_1902,Home & Kitchen,1,2026-07-04 13:26:43.000000,162.53
usr_1530,Home & Kitchen,1,2026-07-04 13:07:50.000000,162.53
usr_2127,Home & Kitchen,1,2026-07-04 09:42:28.000000,162.53
usr_2685,Home & Kitchen,1,2026-07-04 08:58:00.000000,162.53
usr_1146,Home & Kitchen,1,2026-07-04 07:27:55.000000,162.53
usr_1298,Home & Kitchen,1,2026-07-04 05:20:23.000000,162.53
usr_2658,Home & Kitchen,1,2026-07-04 03:46:58.000000,162.53
usr_2781,Home & Kitchen,1,2026-07-04 01:11:09.000000,162.53
usr_1182,Home & Kitchen,1,2026-07-03 23:32:58.000000,162.53
usr_1187,Home & Kitchen,1,2026-07-03 22:43:58.000000,162.53
usr_2690,Home & Kitchen,1,2026-07-03 19:08:01.000000,162.53
