session_id,user_id,timestamp,funnel_stage,category,purchase_amount
sess_b9ce6289,usr_1692,2026-07-08 19:57:10,1_Landing,Books,
sess_35c50f7c,usr_1045,06/07/2026 11:00:52,1_Landing,Home & Kitchen,
sess_ef42df28,usr_1723,2026-07-03 18:22:04,2_Product_View,Clothing,
sess_4298b432,usr_0282,2026-07-09 14:49:21,2_Product_View,Electronics,
sess_af1b4827,usr_1317,2026-07-10 09:22:56,1_Landing,Home & Kitchen,
sess_ed2be599,usr_1571,2026-07-07 06:36:48,2_Product_View,Home & Kitchen,
sess_841c3b0b,usr_0130,2026-07-04 14:40:16,1_Landing,Clothing,
sess_9b7b155f,usr_0532,2026-07-02 13:02:59,1_Landing,Home & Kitchen,
sess_44b48e00,usr_0624,2026-07-03 23:43:59,1_Landing,Home & Kitchen,
sess_320930f6,usr_2346,04/07/2026 05:58:37,3_Add_to_Cart,Books,
sess_b7dcdcda,usr_1209,2026-07-04T00:40:52Z,1_Landing,Books,
sess_00e7c6cb,usr_0962,2026-07-08T02:15:38Z,1_Landing,Home & Kitchen,
sess_140c50a9,usr_0892,2026-07-08T11:16:32Z,2_Product_View,Clothing,
sess_9584dfac,usr_1420,2026-07-06 12:33:44,2_Product_View,Clothing,
sess_9c7af546,usr_1550,2026-07-05 08:43:30,2_Product_View,Clothing,
sess_f0fc112e,usr_2643,2026-07-08 07:13:57,2_Product_View,Clothing,
sess_9de3db83,usr_1443,2026-07-10 03:43:40,3_Add_to_Cart,Home & Kitchen,
sess_69cd5854,usr_2204,2026-07-07 22:48:12,1_Landing,Clothing,
sess_c2556a2a,usr_0153,2026-07-01 05:26:06,3_Add_to_Cart,Home & Kitchen,
sess_29043e7a,usr_2798,2026-07-06 04:19:28,1_Landing,Clothing,
sess_eb132a0c,usr_1577,2026-07-02 07:32:33,2_Product_View,Books,
sess_037d6e05,usr_0644,2026-07-02 06:10:25,1_Landing,Home & Kitchen,
sess_0756ccbe,usr_1637,2026-07-03 15:12:02,1_Landing,Clothing,
